slug,source,substrate,pi_probability,pi_label,content_len,defender_positive
f-prompts.chat,claudemarketplaces,plugins,0.0003,0,166,False
affaan-m-everything-claude-code,claudemarketplaces,plugins,0.0182,0,6000,False
obra-superpowers,claudemarketplaces,plugins,0.0018,0,6000,False
anthropics-skills,claudemarketplaces,plugins,0.0000,0,5496,False
anthropics-claude-code,claudemarketplaces,plugins,0.0023,0,3115,False
nextlevelbuilder-ui-ux-pro-max-skill,claudemarketplaces,plugins,0.8886,1,6000,False
upstash-context7,claudemarketplaces,plugins,0.0882,0,6000,False
composiohq-awesome-claude-skills,claudemarketplaces,plugins,0.9835,1,6000,False
gsd-build-get-shit-done,claudemarketplaces,plugins,0.0063,0,6000,False
thedotmack-claude-mem,claudemarketplaces,plugins,0.9970,1,6000,False
payloadcms-payload,claudemarketplaces,plugins,0.9800,1,6000,False
chromedevtools-chrome-devtools-mcp,claudemarketplaces,plugins,0.0012,0,6000,False
wshobson-agents,claudemarketplaces,plugins,0.0000,0,6000,False
ruvnet-ruflo,claudemarketplaces,plugins,0.0148,0,6000,False
vercel-labs-agent-browser,claudemarketplaces,plugins,0.0000,0,6000,False
eyaltoledano-claude-task-master,claudemarketplaces,plugins,0.9976,1,6000,False
yeachan-heo-oh-my-claudecode,claudemarketplaces,plugins,0.1565,0,6000,False
davila7-claude-code-templates,claudemarketplaces,plugins,0.6656,1,6000,False
yamadashy-repomix,claudemarketplaces,plugins,0.9742,1,6000,False
gastownhall-beads,claudemarketplaces,plugins,0.0007,0,6000,False
ShoppingTools,lobehub_plugins,plugins,0.0000,0,199,False
seo_assistant,lobehub_plugins,plugins,0.0000,0,212,False
VideoCaptions,lobehub_plugins,plugins,0.0000,0,226,False
WeatherGPT,lobehub_plugins,plugins,0.0000,0,153,False
gitUserRepoStats,lobehub_plugins,plugins,0.0000,0,181,False
questmate,lobehub_plugins,plugins,0.0000,0,206,False
AladinSearchBooks,lobehub_plugins,plugins,0.0000,0,137,False
StockData,lobehub_plugins,plugins,0.0000,0,185,False
SEO,lobehub_plugins,plugins,0.0000,0,151,False
web,lobehub_plugins,plugins,0.0000,0,165,False
Bingsearch-identifier,lobehub_plugins,plugins,0.0000,0,133,False
google-cse,lobehub_plugins,plugins,0.0000,0,125,False
alps-tongyi-image,lobehub_plugins,plugins,0.0000,0,191,False
savvy_trader_ai,lobehub_plugins,plugins,0.0001,0,161,False
search1api,lobehub_plugins,plugins,0.0000,0,128,False
search-engine-serper,lobehub_plugins,plugins,0.0000,0,194,False
calendar-assistant,lobehub_plugins,plugins,0.0000,0,156,False
bilibili,lobehub_plugins,plugins,0.0000,0,269,False
steam,lobehub_plugins,plugins,0.0000,0,134,False
current-datetime-assistant,lobehub_plugins,plugins,0.0000,0,130,False
lackeyjb/playwright-skill,github_plugins,plugins,0.0000,0,6000,False
timescale/pg-aiguide,github_plugins,plugins,0.0000,0,6000,False
alexgreensh/token-optimizer,github_plugins,plugins,0.9949,1,6000,False
rsmdt/the-startup,github_plugins,plugins,0.9658,1,6000,False
zxkane/aws-skills,github_plugins,plugins,0.0000,0,6000,False
yonatangross/orchestkit,github_plugins,plugins,0.9907,1,6000,False
smnandre/symfony-ux-skills,github_plugins,plugins,0.0000,0,6000,False
serpro69/claude-toolbox,github_plugins,plugins,0.0017,0,6000,False
jaechang-hits/SciAgent-Skills,github_plugins,plugins,0.0028,0,6000,False
OdradekAI/bundles-forge,github_plugins,plugins,0.0000,0,6000,False
quillai-network/quillshield_skills,github_plugins,plugins,0.0007,0,6000,False
k1p1l0/claude-telegram-supercharged,github_plugins,plugins,0.9819,1,6000,False
techwolf-ai/ai-first-toolkit,github_plugins,plugins,0.0002,0,4841,False
kirilxd/claude-tutor,github_plugins,plugins,0.7146,1,6000,False
indranilbanerjee/digital-marketing-pro,github_plugins,plugins,0.0002,0,6000,False
codenamev/ai-software-architect,github_plugins,plugins,0.0003,0,6000,False
wotai-dev/woterclip,github_plugins,plugins,0.0000,0,6000,False
xiaobei930/cc-best,github_plugins,plugins,0.6694,1,6000,False
shadimarahli/Claude-for-Word-Desktop,github_plugins,plugins,0.0357,0,3744,False
beingsmit/technical-product-gtm,github_plugins,plugins,0.0000,0,4892,False
Yusuke710/manim-skill,github_plugins,plugins,0.0001,0,1738,False
udapy/rust-agentic-skills,github_plugins,plugins,0.0000,0,4696,False
MissingPackage/gitgud,github_plugins,plugins,0.0002,0,6000,False
3spky5u-oss/HandsOn,github_plugins,plugins,0.0010,0,6000,False
hemangjoshi37a/claude-code-frontend-dev,github_plugins,plugins,0.0057,0,6000,False
sageox/ox,github_plugins,plugins,0.0009,0,4014,False
ForteScarlet/codex-kkp,github_plugins,plugins,0.0000,0,6000,False
vibesurf-ai/claude-surf,github_plugins,plugins,0.0001,0,4477,False
softaworks/gepetto,github_plugins,plugins,0.0007,0,6000,False
OutlineDriven/odin-claude-plugin,github_plugins,plugins,0.0001,0,6000,False
kepano-obsidian-skills,claudemarketplaces,plugins,0.0003,0,2551,False
dailydotdev-daily,claudemarketplaces,plugins,0.3606,0,6000,False
othmanadi-planning-with-files,claudemarketplaces,plugins,0.1528,0,6000,False
k-dense-ai-claude-scientific-skills,claudemarketplaces,plugins,0.0183,0,6000,False
jarrodwatts-claude-hud,claudemarketplaces,plugins,0.0009,0,6000,False
voltagent-awesome-claude-code-subagents,claudemarketplaces,plugins,0.9629,1,6000,False
pbakaus-impeccable,claudemarketplaces,plugins,0.0000,0,6000,False
muratcankoylan-agent-skills-for-context-engineering,claudemarketplaces,plugins,0.0002,0,6000,False
jimliu-baoyu-skills,claudemarketplaces,plugins,0.0000,0,6000,False
