slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
f-prompts.chat,claudemarketplaces,plugins,L0,0.9634,0.0031,0.0042,0.0032,0.0109,166,False
affaan-m-everything-claude-code,claudemarketplaces,plugins,L1,0.8781,0.0016,0.0118,0.0043,0.1394,2048,False
obra-superpowers,claudemarketplaces,plugins,L1,0.8649,0.0019,0.0171,0.0063,0.3784,2048,False
anthropics-skills,claudemarketplaces,plugins,L0,0.9390,0.0027,0.0041,0.0031,0.0099,2048,False
anthropics-claude-code,claudemarketplaces,plugins,L1,0.6267,0.0022,0.0224,0.0065,0.0751,2048,False
nextlevelbuilder-ui-ux-pro-max-skill,claudemarketplaces,plugins,L1,0.6610,0.0017,0.0054,0.0037,0.0360,2048,False
upstash-context7,claudemarketplaces,plugins,L1,0.7063,0.0015,0.0070,0.0035,0.0974,2048,False
composiohq-awesome-claude-skills,claudemarketplaces,plugins,L1,0.9103,0.0015,0.0071,0.0031,0.0328,2048,False
gsd-build-get-shit-done,claudemarketplaces,plugins,L1,0.8995,0.0016,0.0147,0.0045,0.1404,2048,False
thedotmack-claude-mem,claudemarketplaces,plugins,L3,0.5867,0.0172,0.2532,0.0708,0.5958,2048,False
payloadcms-payload,claudemarketplaces,plugins,L1,0.6143,0.0020,0.0055,0.0036,0.0177,2048,False
chromedevtools-chrome-devtools-mcp,claudemarketplaces,plugins,L2,0.8337,0.0131,0.0523,0.0907,0.7580,2048,False
wshobson-agents,claudemarketplaces,plugins,L1,0.9547,0.0015,0.0091,0.0039,0.3513,2048,False
ruvnet-ruflo,claudemarketplaces,plugins,L3,0.4088,0.0073,0.2098,0.0244,0.7091,2048,False
vercel-labs-agent-browser,claudemarketplaces,plugins,L2,0.8663,0.0251,0.0627,0.1193,0.8026,2048,False
eyaltoledano-claude-task-master,claudemarketplaces,plugins,L1,0.8765,0.0016,0.0083,0.0033,0.0859,2048,False
yeachan-heo-oh-my-claudecode,claudemarketplaces,plugins,L1,0.7923,0.0020,0.0154,0.0052,0.2758,2048,False
davila7-claude-code-templates,claudemarketplaces,plugins,L1,0.5991,0.0023,0.0130,0.0052,0.0821,2048,False
yamadashy-repomix,claudemarketplaces,plugins,L1,0.8220,0.0019,0.0075,0.0035,0.0925,2048,False
gastownhall-beads,claudemarketplaces,plugins,L3,0.9808,0.0260,0.9418,0.0197,0.8636,2048,False
ShoppingTools,lobehub_plugins,plugins,L1,0.9658,0.0018,0.0059,0.0040,0.8933,199,False
seo_assistant,lobehub_plugins,plugins,L1,0.9711,0.0015,0.0036,0.0026,0.6930,212,False
VideoCaptions,lobehub_plugins,plugins,L1,0.9655,0.0016,0.0039,0.0028,0.7608,226,False
WeatherGPT,lobehub_plugins,plugins,L0,0.7763,0.0017,0.0026,0.0014,0.0779,153,False
gitUserRepoStats,lobehub_plugins,plugins,L1,0.7364,0.0014,0.0027,0.0019,0.3261,181,False
questmate,lobehub_plugins,plugins,L0,0.5057,0.0015,0.0023,0.0015,0.1307,206,False
AladinSearchBooks,lobehub_plugins,plugins,L1,0.9710,0.0018,0.0051,0.0032,0.8644,137,False
StockData,lobehub_plugins,plugins,L1,0.8586,0.0015,0.0031,0.0020,0.5620,185,False
SEO,lobehub_plugins,plugins,L1,0.9700,0.0018,0.0045,0.0031,0.8382,151,False
web,lobehub_plugins,plugins,L1,0.9319,0.0022,0.0080,0.0061,0.9136,165,False
Bingsearch-identifier,lobehub_plugins,plugins,L1,0.9576,0.0021,0.0061,0.0043,0.8955,133,False
google-cse,lobehub_plugins,plugins,L1,0.9507,0.0021,0.0068,0.0048,0.9080,125,False
alps-tongyi-image,lobehub_plugins,plugins,L1,0.9340,0.0013,0.0029,0.0021,0.3946,191,False
savvy_trader_ai,lobehub_plugins,plugins,L1,0.9593,0.0017,0.0054,0.0029,0.7461,161,False
search1api,lobehub_plugins,plugins,L1,0.9699,0.0017,0.0042,0.0028,0.8261,128,False
search-engine-serper,lobehub_plugins,plugins,L1,0.9610,0.0020,0.0073,0.0044,0.8831,194,False
calendar-assistant,lobehub_plugins,plugins,L1,0.5750,0.0018,0.0031,0.0020,0.1290,156,False
bilibili,lobehub_plugins,plugins,L1,0.9656,0.0016,0.0043,0.0031,0.8179,269,False
steam,lobehub_plugins,plugins,L1,0.8902,0.0018,0.0043,0.0024,0.7202,134,False
current-datetime-assistant,lobehub_plugins,plugins,L0,0.9335,0.0021,0.0031,0.0020,0.0192,130,False
lackeyjb/playwright-skill,github_plugins,plugins,L2,0.7269,0.0082,0.0566,0.0515,0.7536,2048,False
timescale/pg-aiguide,github_plugins,plugins,L1,0.9507,0.0015,0.0046,0.0033,0.3307,2048,False
alexgreensh/token-optimizer,github_plugins,plugins,L1,0.7279,0.0017,0.0064,0.0032,0.0335,2048,False
rsmdt/the-startup,github_plugins,plugins,L1,0.5712,0.0029,0.0549,0.0119,0.2488,2048,False
zxkane/aws-skills,github_plugins,plugins,L1,0.9358,0.0014,0.0070,0.0048,0.0756,2048,False
yonatangross/orchestkit,github_plugins,plugins,L1,0.9178,0.0015,0.0048,0.0027,0.1432,2048,False
smnandre/symfony-ux-skills,github_plugins,plugins,L0,0.8086,0.0020,0.0046,0.0029,0.0140,2048,False
serpro69/claude-toolbox,github_plugins,plugins,L1,0.8908,0.0019,0.0220,0.0060,0.2782,2048,False
jaechang-hits/SciAgent-Skills,github_plugins,plugins,L1,0.9360,0.0018,0.0137,0.0051,0.2593,2048,False
OdradekAI/bundles-forge,github_plugins,plugins,L1,0.9607,0.0013,0.0071,0.0038,0.2801,2048,False
quillai-network/quillshield_skills,github_plugins,plugins,L1,0.5822,0.0012,0.0028,0.0020,0.0522,2048,False
k1p1l0/claude-telegram-supercharged,github_plugins,plugins,L1,0.8969,0.0016,0.0116,0.0043,0.1533,2048,False
techwolf-ai/ai-first-toolkit,github_plugins,plugins,L1,0.9518,0.0018,0.0100,0.0045,0.2042,2048,False
kirilxd/claude-tutor,github_plugins,plugins,L1,0.9224,0.0018,0.0054,0.0031,0.1650,2048,False
indranilbanerjee/digital-marketing-pro,github_plugins,plugins,L1,0.9636,0.0013,0.0072,0.0038,0.0915,2048,False
codenamev/ai-software-architect,github_plugins,plugins,L1,0.9369,0.0017,0.0112,0.0044,0.2135,2048,False
wotai-dev/woterclip,github_plugins,plugins,L1,0.9382,0.0016,0.0078,0.0046,0.1001,2048,False
xiaobei930/cc-best,github_plugins,plugins,L1,0.8985,0.0016,0.0106,0.0040,0.2091,2048,False
shadimarahli/Claude-for-Word-Desktop,github_plugins,plugins,L3,0.9750,0.0279,0.9384,0.0240,0.8845,2048,False
beingsmit/technical-product-gtm,github_plugins,plugins,L1,0.9015,0.0014,0.0036,0.0019,0.1482,2048,False
Yusuke710/manim-skill,github_plugins,plugins,L1,0.7351,0.0021,0.0293,0.0113,0.4621,1738,False
udapy/rust-agentic-skills,github_plugins,plugins,L2,0.4753,0.0036,0.0521,0.0256,0.4035,2048,False
MissingPackage/gitgud,github_plugins,plugins,L1,0.4820,0.0027,0.0359,0.0188,0.2853,2048,False
3spky5u-oss/HandsOn,github_plugins,plugins,L1,0.7917,0.0020,0.0240,0.0097,0.2546,2048,False
hemangjoshi37a/claude-code-frontend-dev,github_plugins,plugins,L1,0.8822,0.0019,0.0222,0.0068,0.2820,2048,False
sageox/ox,github_plugins,plugins,L3,0.9808,0.0287,0.9423,0.0199,0.8724,2048,False
ForteScarlet/codex-kkp,github_plugins,plugins,L2,0.5331,0.0032,0.0363,0.0232,0.1928,2048,False
vibesurf-ai/claude-surf,github_plugins,plugins,L2,0.7913,0.0156,0.0636,0.0842,0.8713,2048,False
softaworks/gepetto,github_plugins,plugins,L1,0.9475,0.0015,0.0060,0.0037,0.2403,2048,False
OutlineDriven/odin-claude-plugin,github_plugins,plugins,L2,0.4331,0.0035,0.0847,0.0220,0.5505,2048,False
kepano-obsidian-skills,claudemarketplaces,plugins,L1,0.7193,0.0014,0.0026,0.0017,0.1216,2048,False
dailydotdev-daily,claudemarketplaces,plugins,L0,0.8872,0.0020,0.0038,0.0023,0.0146,2048,False
othmanadi-planning-with-files,claudemarketplaces,plugins,L1,0.8920,0.0016,0.0078,0.0040,0.1620,2048,False
k-dense-ai-claude-scientific-skills,claudemarketplaces,plugins,L1,0.9062,0.0017,0.0189,0.0063,0.4200,2048,False
jarrodwatts-claude-hud,claudemarketplaces,plugins,L1,0.9273,0.0014,0.0086,0.0047,0.1720,2048,False
voltagent-awesome-claude-code-subagents,claudemarketplaces,plugins,L1,0.7064,0.0025,0.0332,0.0116,0.3216,2048,False
pbakaus-impeccable,claudemarketplaces,plugins,L1,0.9065,0.0015,0.0047,0.0025,0.1360,2048,False
muratcankoylan-agent-skills-for-context-engineering,claudemarketplaces,plugins,L1,0.8584,0.0015,0.0034,0.0026,0.1300,2048,False
jimliu-baoyu-skills,claudemarketplaces,plugins,L1,0.9163,0.0016,0.0143,0.0060,0.3641,2048,False
everyinc-compound-engineering-plugin,claudemarketplaces,plugins,L1,0.4902,0.0030,0.0481,0.0195,0.4844,2048,False
anthropics-knowledge-work-plugins,claudemarketplaces,plugins,L0,0.8828,0.0018,0.0034,0.0022,0.0151,2048,False
huggingface-skills,claudemarketplaces,plugins,L1,0.8880,0.0016,0.0039,0.0029,0.1015,2048,False
alirezarezvani-claude-skills,claudemarketplaces,plugins,L1,0.8804,0.0019,0.0263,0.0069,0.3744,2048,False
mcp-use-mcp-use,claudemarketplaces,plugins,L0,0.5444,0.0021,0.0056,0.0034,0.0167,2048,False
redpanda-data-connect,claudemarketplaces,plugins,L1,0.7323,0.0015,0.0045,0.0031,0.0653,2048,False
