slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
f-prompts.chat,claudemarketplaces,plugins,L0,0.9957,0.0010,0.0004,0.0010,0.0024,166,False
affaan-m-everything-claude-code,claudemarketplaces,plugins,L1,0.9979,0.0011,0.0006,0.0003,0.0043,8192,False
obra-superpowers,claudemarketplaces,plugins,L1,0.8316,0.0002,0.0067,0.0005,0.9151,7446,False
anthropics-skills,claudemarketplaces,plugins,L0,0.9975,0.0009,0.0011,0.0008,0.0008,5496,False
anthropics-claude-code,claudemarketplaces,plugins,L1,0.9553,0.0006,0.0055,0.0004,0.0251,3115,False
nextlevelbuilder-ui-ux-pro-max-skill,claudemarketplaces,plugins,L1,0.8927,0.0003,0.0003,0.0004,0.0018,8192,False
upstash-context7,claudemarketplaces,plugins,L1,0.8719,0.0008,0.0007,0.0019,0.9319,8192,False
composiohq-awesome-claude-skills,claudemarketplaces,plugins,L1,0.9986,0.0003,0.0005,0.0004,0.0033,8192,False
gsd-build-get-shit-done,claudemarketplaces,plugins,L1,0.9569,0.0005,0.0003,0.0012,0.0425,8192,False
thedotmack-claude-mem,claudemarketplaces,plugins,L2,0.6214,0.0008,0.0057,0.0031,0.0395,8192,False
payloadcms-payload,claudemarketplaces,plugins,L0,0.8522,0.0010,0.0009,0.0037,0.0018,8192,False
chromedevtools-chrome-devtools-mcp,claudemarketplaces,plugins,L2,0.9414,0.0011,0.0011,0.0082,0.6963,8192,False
wshobson-agents,claudemarketplaces,plugins,L1,0.9928,0.0003,0.0006,0.0004,0.6250,8192,False
ruvnet-ruflo,claudemarketplaces,plugins,L2,0.7699,0.0006,0.0015,0.0012,0.0390,8192,False
vercel-labs-agent-browser,claudemarketplaces,plugins,L2,0.9924,0.0005,0.0071,0.0225,0.6682,8192,False
eyaltoledano-claude-task-master,claudemarketplaces,plugins,L1,0.9932,0.0002,0.0004,0.0002,0.0115,8192,False
yeachan-heo-oh-my-claudecode,claudemarketplaces,plugins,L1,0.9984,0.0009,0.0003,0.0011,0.1166,8192,False
davila7-claude-code-templates,claudemarketplaces,plugins,L2,0.9968,0.0024,0.0068,0.0042,0.6034,8192,False
yamadashy-repomix,claudemarketplaces,plugins,L1,0.9658,0.0003,0.0003,0.0012,0.1050,8192,False
gastownhall-beads,claudemarketplaces,plugins,L1,0.9939,0.0007,0.0015,0.0031,0.0270,7347,False
