slug,source,substrate,heuristic_hit_count,heuristic_flags,patterns,content_len,stars,installs,official_badge,defender_positive
f-prompts.chat,claudemarketplaces,plugins,0,,,166,157647,1,False,False
affaan-m-everything-claude-code,claudemarketplaces,plugins,0,,,20000,141890,1,False,False
obra-superpowers,claudemarketplaces,plugins,0,,,7446,136990,1,False,False
anthropics-skills,claudemarketplaces,plugins,0,,,5496,111395,3,False,False
anthropics-claude-code,claudemarketplaces,plugins,2,malicious_code,"curl\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh|zsh);curl\s+-fsSL\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh)",3115,109692,13,False,False
nextlevelbuilder-ui-ux-pro-max-skill,claudemarketplaces,plugins,0,,,20000,59592,1,False,False
upstash-context7,claudemarketplaces,plugins,0,,,9254,51767,1,False,False
composiohq-awesome-claude-skills,claudemarketplaces,plugins,0,,,20000,51515,107,False,False
gsd-build-get-shit-done,claudemarketplaces,plugins,0,,,20000,48255,1,False,False
thedotmack-claude-mem,claudemarketplaces,plugins,2,malicious_code,"curl\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh|zsh);curl\s+-fsSL\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh)",16868,45739,1,False,False
payloadcms-payload,claudemarketplaces,plugins,0,,,8417,41629,1,False,False
chromedevtools-chrome-devtools-mcp,claudemarketplaces,plugins,0,,,20000,33365,1,False,False
wshobson-agents,claudemarketplaces,plugins,1,malicious_code,(?i)rm\s+-rf\s+(/|~|\$HOME),19017,33050,75,False,False
ruvnet-ruflo,claudemarketplaces,plugins,2,malicious_code,"curl\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh|zsh);curl\s+-fsSL\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh)",20000,30230,1,False,False
vercel-labs-agent-browser,claudemarketplaces,plugins,0,,,20000,27616,1,False,False
eyaltoledano-claude-task-master,claudemarketplaces,plugins,0,,,17210,26419,1,False,False
yeachan-heo-oh-my-claudecode,claudemarketplaces,plugins,0,,,20000,24851,1,False,False
davila7-claude-code-templates,claudemarketplaces,plugins,0,,,8729,24215,10,False,False
yamadashy-repomix,claudemarketplaces,plugins,0,,,20000,23130,3,False,False
gastownhall-beads,claudemarketplaces,plugins,2,malicious_code,"curl\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh|zsh);curl\s+-fsSL\s+[^\n]{1,120}\|\s*(sudo\s+)?(bash|sh)",7347,20308,1,False,False
ShoppingTools,lobehub_plugins,plugins,0,,,235,0,0,False,False
seo_assistant,lobehub_plugins,plugins,0,,,225,0,0,False,False
VideoCaptions,lobehub_plugins,plugins,0,,,249,0,0,False,False
WeatherGPT,lobehub_plugins,plugins,0,,,162,0,0,False,False
gitUserRepoStats,lobehub_plugins,plugins,0,,,193,0,0,False,False
questmate,lobehub_plugins,plugins,0,,,237,0,0,False,False
AladinSearchBooks,lobehub_plugins,plugins,0,,,150,0,0,False,False
StockData,lobehub_plugins,plugins,0,,,192,0,0,False,False
