slug,source,substrate,severity,severity_prob,prompt_injection_prob,malicious_code_prob,secret_exposure_prob,untrusted_fetch_prob,content_len,defender_positive
f-prompts.chat,claudemarketplaces,plugins,L0,0.9722,0.0098,0.0097,0.0095,0.0433,166,False
affaan-m-everything-claude-code,claudemarketplaces,plugins,L1,0.9450,0.0028,0.0134,0.0026,0.2366,2048,False
obra-superpowers,claudemarketplaces,plugins,L1,0.8995,0.0040,0.0446,0.0069,0.7822,2048,False
anthropics-skills,claudemarketplaces,plugins,L0,0.9211,0.0057,0.0091,0.0057,0.0206,2048,False
anthropics-claude-code,claudemarketplaces,plugins,L0,0.7088,0.0051,0.0149,0.0054,0.0277,2048,False
nextlevelbuilder-ui-ux-pro-max-skill,claudemarketplaces,plugins,L1,0.7441,0.0027,0.0083,0.0044,0.0966,2048,False
upstash-context7,claudemarketplaces,plugins,L1,0.7827,0.0042,0.0211,0.0076,0.1684,2048,False
composiohq-awesome-claude-skills,claudemarketplaces,plugins,L1,0.9347,0.0129,0.0273,0.0086,0.1436,2048,False
gsd-build-get-shit-done,claudemarketplaces,plugins,L1,0.9625,0.0029,0.0147,0.0047,0.1234,2048,False
thedotmack-claude-mem,claudemarketplaces,plugins,L1,0.6392,0.0088,0.1150,0.0118,0.4247,2048,False
payloadcms-payload,claudemarketplaces,plugins,L0,0.7464,0.0163,0.0335,0.0304,0.0881,2048,False
chromedevtools-chrome-devtools-mcp,claudemarketplaces,plugins,L2,0.9321,0.0145,0.0606,0.0617,0.8537,2048,False
wshobson-agents,claudemarketplaces,plugins,L1,0.9598,0.0017,0.0108,0.0034,0.3710,2048,False
ruvnet-ruflo,claudemarketplaces,plugins,L2,0.3863,0.0050,0.1845,0.0089,0.6818,2048,False
vercel-labs-agent-browser,claudemarketplaces,plugins,L2,0.8580,0.0155,0.1333,0.0785,0.8777,2048,False
eyaltoledano-claude-task-master,claudemarketplaces,plugins,L1,0.8783,0.0045,0.0081,0.0048,0.1577,2048,False
yeachan-heo-oh-my-claudecode,claudemarketplaces,plugins,L1,0.8464,0.0039,0.0260,0.0060,0.2300,2048,False
davila7-claude-code-templates,claudemarketplaces,plugins,L1,0.6686,0.0024,0.0230,0.0051,0.3921,2048,False
yamadashy-repomix,claudemarketplaces,plugins,L1,0.7755,0.0059,0.0356,0.0065,0.2579,2048,False
gastownhall-beads,claudemarketplaces,plugins,L1,0.8756,0.0052,0.0711,0.0125,0.6422,2048,False
ShoppingTools,lobehub_plugins,plugins,L1,0.9237,0.0109,0.0268,0.0145,0.9644,199,False
seo_assistant,lobehub_plugins,plugins,L1,0.9647,0.0059,0.0098,0.0085,0.8855,212,False
VideoCaptions,lobehub_plugins,plugins,L1,0.9672,0.0050,0.0096,0.0067,0.7509,226,False
WeatherGPT,lobehub_plugins,plugins,L0,0.7923,0.0125,0.0182,0.0065,0.4288,153,False
gitUserRepoStats,lobehub_plugins,plugins,L1,0.9448,0.0035,0.0087,0.0039,0.4627,181,False
questmate,lobehub_plugins,plugins,L1,0.9090,0.0041,0.0064,0.0039,0.4206,206,False
AladinSearchBooks,lobehub_plugins,plugins,L1,0.9728,0.0085,0.0191,0.0123,0.9279,137,False
StockData,lobehub_plugins,plugins,L1,0.9622,0.0030,0.0076,0.0050,0.7143,185,False
SEO,lobehub_plugins,plugins,L1,0.9330,0.0068,0.0205,0.0093,0.9299,151,False
web,lobehub_plugins,plugins,L1,0.9611,0.0090,0.0176,0.0151,0.9371,165,False
Bingsearch-identifier,lobehub_plugins,plugins,L1,0.9035,0.0110,0.0432,0.0213,0.9595,133,False
google-cse,lobehub_plugins,plugins,L1,0.9694,0.0099,0.0149,0.0110,0.9331,125,False
alps-tongyi-image,lobehub_plugins,plugins,L1,0.9790,0.0080,0.0154,0.0076,0.6034,191,False
savvy_trader_ai,lobehub_plugins,plugins,L1,0.8941,0.0047,0.0217,0.0160,0.9315,161,False
search1api,lobehub_plugins,plugins,L1,0.9298,0.0057,0.0092,0.0109,0.8778,128,False
search-engine-serper,lobehub_plugins,plugins,L1,0.9404,0.0147,0.0238,0.0196,0.9633,194,False
calendar-assistant,lobehub_plugins,plugins,L1,0.9690,0.0027,0.0045,0.0035,0.2945,156,False
bilibili,lobehub_plugins,plugins,L1,0.9532,0.0083,0.0346,0.0194,0.9434,269,False
steam,lobehub_plugins,plugins,L0,0.6503,0.0149,0.0155,0.0103,0.5826,134,False
current-datetime-assistant,lobehub_plugins,plugins,L0,0.8283,0.0072,0.0056,0.0055,0.1080,130,False
lackeyjb/playwright-skill,github_plugins,plugins,L1,0.6811,0.0021,0.0116,0.0059,0.2789,2048,False
timescale/pg-aiguide,github_plugins,plugins,L1,0.9624,0.0028,0.0072,0.0039,0.4284,2048,False
alexgreensh/token-optimizer,github_plugins,plugins,L1,0.6935,0.0046,0.0087,0.0050,0.1047,2048,False
rsmdt/the-startup,github_plugins,plugins,L3,0.9533,0.0193,0.8500,0.0309,0.8698,2048,False
